city,type,squareMeters,rooms,floor,floorCount,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price,building_age,nearset_poi_distance,poi_sum_distance,rooms_per_m2
szczecin,unknown,53.8,2.0,5.0,5.0,53.42942948,14.55464244,0.79,60.0,0.147,0.437,0.328,0.198,0.009,0.465,0.073,False,False,True,False,False,380000,45.0,0.009,1.1919999999999997,0.03717472118959108
szczecin,apartmentBuilding,79.5,3.0,4.0,5.0,53.4222,14.5565,0.32,53.0,0.184,0.432,0.138,0.302,0.113,0.865,0.407,False,True,True,False,False,870000,17.0,0.113,1.576,0.03773584905660377
szczecin,tenement,50.0,2.0,3.0,1.0,53.3644,14.6609,9.32,6.0,0.367,1.368,0.377,0.273,0.367,2.02,0.399,True,False,False,False,False,320000,45.0,0.273,3.1510000000000002,0.04
szczecin,blockOfFlats,62.88,3.0,4.0,8.0,53.4230495,14.4471272,7.54,0.0,1.046,3.027,1.23,0.961,1.102,3.07,1.436,False,True,True,False,True,482000,44.0,0.961,8.802000000000001,0.047709923664122134
szczecin,blockOfFlats,69.0,3.0,3.0,3.0,53.3658,14.6614,9.24,9.0,0.448,1.33,0.22,0.197,0.232,1.001,0.24,True,True,False,False,False,639000,19.0,0.197,2.667,0.043478260869565216
szczecin,blockOfFlats,57.0,3.0,5.0,12.0,53.4412,14.5672,2.02,16.0,0.159,0.953,0.548,0.131,0.209,1.368,0.2,True,True,True,False,True,490000,45.0,0.131,2.2,0.05263157894736842
szczecin,blockOfFlats,64.2,3.0,3.0,3.0,53.3658,14.6614,9.24,9.0,0.448,1.33,0.22,0.197,0.232,1.001,0.24,True,True,False,False,True,519000,24.0,0.197,2.667,0.04672897196261682
szczecin,blockOfFlats,47.0,3.0,10.0,11.0,53.4336,14.511,3.5,15.0,0.148,1.016,0.293,0.255,0.315,1.392,0.146,True,True,True,False,True,349000,45.0,0.146,2.1729999999999996,0.06382978723404255
szczecin,blockOfFlats,63.0,3.0,11.0,11.0,53.4542,14.4911,5.76,14.0,0.224,1.659,0.376,0.103,0.591,2.941,0.125,True,True,True,False,True,469000,45.0,0.103,3.0780000000000003,0.047619047619047616
szczecin,blockOfFlats,77.0,4.0,6.0,11.0,53.3797,14.6552,7.91,23.0,0.128,0.164,0.272,0.252,0.156,1.1864999999999999,0.148,True,True,True,False,True,450000,45.0,0.128,1.12,0.05194805194805195
szczecin,blockOfFlats,60.7,3.0,1.0,4.0,53.4352,14.5636,1.32,13.0,0.462,0.556,0.434,0.362,0.106,0.663,0.408,False,True,False,False,False,450000,24.0,0.106,2.3280000000000003,0.049423393739703454
szczecin,blockOfFlats,70.0,2.0,3.0,4.0,53.4307,14.4844,5.14,1.0,1.015,0.926,0.536,0.818,0.994,3.175,0.207,True,True,False,False,False,370000,21.0,0.207,4.4959999999999996,0.02857142857142857
szczecin,blockOfFlats,115.0,5.0,3.0,3.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,True,True,False,False,False,640000,45.0,0.067,4.428,0.043478260869565216
szczecin,tenement,95.78,4.0,3.0,4.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,False,False,False,False,True,649000,79.0,0.01,0.9590000000000001,0.04176237210273544
szczecin,tenement,52.93,2.0,3.0,4.0,53.4231,14.5421,1.25,20.0,0.087,0.522,0.261,0.37,0.253,0.707,0.238,False,True,False,False,True,585000,74.0,0.087,1.7309999999999999,0.03778575477045154
szczecin,unknown,69.55,4.0,5.0,5.0,53.42849628,14.53814176,1.62,54.0,0.109,0.715,0.073,0.22,0.138,0.369,0.155,False,False,False,False,False,619000,104.0,0.073,1.41,0.05751258087706686
szczecin,blockOfFlats,48.0,2.0,4.0,4.0,53.4032593,14.5198134,3.53,9.0,0.416,0.855,0.449,0.102,0.171,2.002,0.079,False,True,False,False,True,449000,44.0,0.079,2.072,0.041666666666666664
szczecin,blockOfFlats,45.5,3.0,2.0,4.0,53.4559,14.5391,3.89,10.0,0.157,0.424,0.279,0.415,0.225,1.609,0.289,False,True,False,False,True,499000,44.0,0.157,1.789,0.06593406593406594
szczecin,blockOfFlats,59.3,3.0,3.0,4.0,53.4500234,14.559986,2.96,17.0,0.276,0.453,0.382,0.14,0.379,1.865,0.353,True,True,False,False,True,539000,46.0,0.14,1.9830000000000003,0.050590219224283306
szczecin,unknown,48.45,2.0,2.0,4.0,53.4253894,14.55248594,0.6,65.0,0.317,0.273,0.131,0.146,0.03,0.745,0.106,True,True,False,False,False,540000,45.0,0.03,1.0030000000000001,0.0412796697626419
szczecin,unknown,43.68,2.0,3.0,4.0,53.42769081,14.53544855,1.76,32.0,0.168,0.653,0.131,0.398,0.057,0.566,0.047,False,False,False,False,True,388000,74.0,0.047,1.454,0.045787545787545784
szczecin,blockOfFlats,65.25,4.0,1.0,12.0,53.4544245,14.5627738,3.45,15.0,0.268,0.094,0.063,0.446,0.113,1.386,0.032,False,False,True,False,True,685000,39.0,0.032,1.016,0.06130268199233716
szczecin,apartmentBuilding,57.36,2.0,2.0,4.0,53.43157,14.61499,3.69,0.0,2.73,3.98,2.873,3.1,2.798,3.542,2.672,False,False,True,False,False,690000,21.0,2.672,18.153,0.03486750348675035
